rank,amfi_code,scheme_name,category,risk_category,cagr_pct
1,120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,High,32.82740607461121
2,119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,Very High,32.423536152454616
3,149324,DSP Small Cap Fund - Regular - Growth,Equity,Very High,32.287440451573616
4,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,High,31.94952310833252
5,148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Moderate,30.974107501859027
6,120843,Kotak Flexicap Fund - Regular - Growth,Equity,Moderately High,30.907454754005492
7,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,High,30.12315310072722
8,149323,DSP Midcap Fund - Regular - Growth,Equity,High,29.581086910433996
9,119094,Axis Midcap Fund - Regular - Growth,Equity,High,28.214417193652032
10,119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,Moderate,25.804686425584002
